nimi,oppilaat,opetusryhmat,postinumero,tyyppi
Halssila,377,18,40400,alakoulu
Huhtasuon yhtenäiskoulu,434,24,40340,alakoulu
Janakka,155,9,40800,alakoulu
- Oravasaari,29,2,41630,alakoulu
Jokela,414,18,40270,alakoulu
Jyskä,375,18,40420,alakoulu
- Tammirinne,47,2,40420,alakoulu
Kangasvuori,127,7,40320,alakoulu
Keljonkangas,520,24,40530,alakoulu
Keltinmäki,350,19,40640,alakoulu
Keski-Palokka,547,21,40270,alakoulu
Kilpisen yhtenäiskoulu,104,5,40600,alakoulu
Korpilahden yhtenäiskoulu,271,12,41800,alakoulu
- Tikkala,69,3,41860,alakoulu
Kortepohja,288,15,40740,alakoulu
Kuokkalan yhtenäiskoulu,521,27,40520,alakoulu
Kypärämäki,304,16,40630,alakoulu
Lohikoski,298,13,40250,alakoulu
Mankolan yhtenäiskoulu,275,10,40200,alakoulu
Palokan yhtenäiskoulu,238,10,40270,alakoulu
Puistokadun koulu,239,11,40100,alakoulu
Puuppola,315,14,41120,alakoulu
Savulahti,65,3,40270,alakoulu
- Saarenmaa,41,2,40270,alakoulu
Säynätsalon yht.koulu/Lehtisaari,113,6,40900,alakoulu
Säynätsalon yht.koulu/Muuratsalo,56,3,40900,alakoulu
Säynätsalon yht.koulu/Säynätsalo,58,3,40900,alakoulu
Tikka,405,17,40520,alakoulu
- Nenäinniemi,76,3,40520,alakoulu
Tikkakosken yhtenäiskoulu,482,22,41160,alakoulu
- Liinalampi,91,4,41160,alakoulu
Vaajakosken yhtenäiskoulu,132,6,40800,alakoulu
Vaajakummun yhtenäiskoulu,429,20,40800,alakoulu
- Haapaniemi,29,2,40820,alakoulu
Vesanka,167,7,41940,alakoulu
- Kuohu,58,3,41930,alakoulu
Huhtasuon yhtenäiskoulu,367,23,40340,ylakoulu
Kilpisen yhtenäiskoulu,538,24,40600,ylakoulu
Korpilahden yhtenäiskoulu,174,8,41800,ylakoulu
Kuokkalan yhtenäiskoulu,378,19,40520,ylakoulu
Mankolan yhtenäiskoulu,361,16,40200,ylakoulu
Palokan yhtenäiskoulu,334,14,40270,ylakoulu
Säynätsalon yht.koulu/Lehtisaari,286,13,40900,ylakoulu
Tikkakosken yhtenäiskoulu,355,16,41160,ylakoulu
Vaajakosken yhtenäiskoulu,420,20,40800,ylakoulu
Vaajakummun yhtenäiskoulu,132,6,40800,ylakoulu
Viitaniemi,456,20,40720,ylakoulu
